Symbol
RELIANCE
 TCS
 HDFCBANK
 INFY
 HINDUNILVR
 ICICIBANK
 KOTAKBANK
 BHARTIARTL
 LT
 AXISBANK
 ITC
 ONGC
 SBIN
 WIPRO
 NTPC
 HCLTECH
 MARUTI
 HDFC
 COALINDIA
 ASIANPAINT
 BAJAJFINSV
 BAJFINANCE
 TECHM
 HINDZINC
 ULTRACEMCO
 INDUSINDBK
 BPCL
 M&M
 HEROMOTOCO
 GAIL
 POWERGRID
 JSWSTEEL
 TITAN
 SUNPHARMA
 ADANIPORTS
 EICHERMOT
 UPL
 SHREECEM
 HINDALCO
 GRASIM
 TATASTEEL
 CIPLA
 DRREDDY
 JSWENERGY
 IOC
 YESBANK
 ADANIGREEN
 PIDILITIND
 MRF
 INFRATEL
